round,day,month,year,season,hometeam,goalsht,goalsvt,visitingteam
1,12,5,2007,2007,Figueirense,3,6,Athletico-PR
1,12,5,2007,2007,Fluminense,2,2,Cruzeiro
1,12,5,2007,2007,São Paulo,2,0,Goiás
1,13,5,2007,2007,Paraná,3,0,Grêmio
1,13,5,2007,2007,Flamengo,2,4,Palmeiras
1,13,5,2007,2007,Internacional,2,3,Botafogo
1,13,5,2007,2007,Atlético-MG,2,1,Náutico
1,13,5,2007,2007,América-RN,0,1,Vasco
1,13,5,2007,2007,Corinthians,1,0,Juventude
1,13,5,2007,2007,Sport,4,1,Santos
2,19,5,2007,2007,Santos,2,3,América-RN
2,19,5,2007,2007,Athletico-PR,2,1,Internacional
2,19,5,2007,2007,Juventude,1,2,Paraná
2,20,5,2007,2007,Goiás,1,3,Flamengo
2,20,5,2007,2007,Botafogo,2,1,Atlético-MG
2,20,5,2007,2007,Cruzeiro,0,3,Corinthians
2,20,5,2007,2007,Palmeiras,2,1,Figueirense
2,20,5,2007,2007,Grêmio,2,0,Fluminense
2,20,5,2007,2007,Náutico,1,0,São Paulo
2,20,5,2007,2007,Vasco,3,1,Sport
3,26,5,2007,2007,América-RN,0,1,Figueirense
3,26,5,2007,2007,Corinthians,0,0,Atlético-MG
3,26,5,2007,2007,Fluminense,3,0,Internacional
3,27,5,2007,2007,São Paulo,0,0,Palmeiras
3,27,5,2007,2007,Grêmio,1,0,Sport
3,27,5,2007,2007,Náutico,2,2,Vasco
3,27,5,2007,2007,Athletico-PR,0,1,Santos
3,27,5,2007,2007,Flamengo,2,2,Botafogo
3,27,5,2007,2007,Cruzeiro,3,4,Paraná
3,27,5,2007,2007,Goiás,3,1,Juventude
4,2,6,2007,2007,Atlético-MG,1,1,Athletico-PR
4,2,6,2007,2007,Botafogo,3,0,Grêmio
4,2,6,2007,2007,Figueirense,2,1,Goiás
4,3,6,2007,2007,Juventude,3,0,América-RN
4,3,6,2007,2007,Santos,1,1,Corinthians
4,3,6,2007,2007,Sport,2,2,Flamengo
4,3,6,2007,2007,Palmeiras,1,3,Cruzeiro
4,3,6,2007,2007,Vasco,1,1,Fluminense
4,3,6,2007,2007,Paraná,0,1,São Paulo
4,4,6,2007,2007,Internacional,2,0,Náutico
5,9,6,2007,2007,Vasco,4,0,Grêmio
5,9,6,2007,2007,Palmeiras,1,1,Botafogo
5,9,6,2007,2007,Náutico,4,4,Paraná
5,10,6,2007,2007,América-RN,1,2,Corinthians
5,10,6,2007,2007,Fluminense,3,0,Sport
5,10,6,2007,2007,Figueirense,4,0,Flamengo
5,10,6,2007,2007,Athletico-PR,0,3,Goiás
5,10,6,2007,2007,Internacional,1,0,Santos
5,10,6,2007,2007,São Paulo,0,1,Atlético-MG
5,10,6,2007,2007,Cruzeiro,2,3,Juventude
6,16,6,2007,2007,Grêmio,0,2,Cruzeiro
6,16,6,2007,2007,Corinthians,0,0,Paraná
6,16,6,2007,2007,Flamengo,2,2,Internacional
6,17,6,2007,2007,Goiás,3,1,Palmeiras
6,17,6,2007,2007,Atlético-MG,4,1,Figueirense
6,17,6,2007,2007,São Paulo,2,0,Vasco
6,17,6,2007,2007,Athletico-PR,1,1,Fluminense
6,17,6,2007,2007,Juventude,0,2,Santos
6,17,6,2007,2007,Botafogo,3,1,Náutico
6,17,6,2007,2007,Sport,2,2,América-RN
7,23,6,2007,2007,Juventude,1,1,Figueirense
7,23,6,2007,2007,Paraná,1,0,Sport
7,24,6,2007,2007,Palmeiras,0,2,Athletico-PR
7,24,6,2007,2007,América-RN,0,1,Fluminense
7,24,6,2007,2007,Santos,0,2,São Paulo
7,24,6,2007,2007,Cruzeiro,4,2,Atlético-MG
7,24,6,2007,2007,Náutico,0,2,Goiás
7,24,6,2007,2007,Internacional,0,2,Grêmio
7,15,8,2007,2007,Botafogo,2,3,Corinthians
7,18,10,2007,2007,Vasco,1,2,Flamengo
8,28,6,2007,2007,Sport,4,1,Náutico
8,28,6,2007,2007,Figueirense,0,0,São Paulo
8,30,6,2007,2007,Santos,0,0,Grêmio
8,30,6,2007,2007,Cruzeiro,3,1,Vasco
8,30,6,2007,2007,América-RN,0,3,Goiás
8,30,6,2007,2007,Corinthians,0,1,Palmeiras
8,30,6,2007,2007,Internacional,1,1,Atlético-MG
8,30,6,2007,2007,Paraná,2,2,Athletico-PR
8,30,6,2007,2007,Fluminense,1,2,Botafogo
8,23,8,2007,2007,Flamengo,4,0,Juventude
9,3,7,2007,2007,Palmeiras,2,0,América-RN
9,3,7,2007,2007,São Paulo,1,0,Internacional
9,3,7,2007,2007,Fluminense,0,0,Paraná
9,3,7,2007,2007,Grêmio,3,1,Juventude
9,3,7,2007,2007,Athletico-PR,1,1,Náutico
9,3,7,2007,2007,Figueirense,2,1,Cruzeiro
9,3,7,2007,2007,Goiás,1,1,Botafogo
9,4,7,2007,2007,Vasco,4,0,Santos
